Test data,Actual label,Predicted label,Location accuracy
1,star,star,76.61
2,star,star,44.68
3,star,star,63.12
4,star,star,97.28
5,star,star,85.52
6,star,star,75.41
7,star,star,68.53
8,star,star,51.66
9,star,star,54.28
10,star,star,71.85
11,elephant,elephant,75.3
12,elephant,elephant,88.13
13,elephant,elephant,70.56
14,elephant,elephant,78.67
15,elephant,chimpanzee,21.92
16,elephant,elephant,98.17
17,elephant,star,0.0
18,elephant,elephant,35.57
19,elephant,bison,81.0
20,elephant,elephant,64.78
21,zebra,zebra,52.4
22,zebra,zebra,45.41
23,zebra,zebra,56.84
24,zebra,zebra,88.47
25,zebra,zebra,77.25
26,zebra,zebra,76.56
27,zebra,zebra,69.68
28,zebra,zebra,63.85
29,zebra,zebra,76.76
30,zebra,zebra,50.28
31,dog,dog,76.06
32,dog,dog,44.83
33,dog,chimpanzee,17.03
34,dog,dog,43.5
35,dog,dog,70.0
36,dog,dog,79.82
37,dog,dog,43.28
38,dog,dog,79.4
39,dog,dog,71.02
40,dog,dog,73.22
41,bison,bison,38.62
42,bison,bison,84.68
43,bison,bison,78.3
44,bison,chimpanzee,13.13
45,bison,bison,77.39
46,bison,bison,45.74
47,bison,bison,77.58
48,bison,bison,51.48
49,bison,bison,32.34
50,bison,bison,58.15
51,chimpanzee,chimpanzee,96.37
52,chimpanzee,chimpanzee,69.27
53,chimpanzee,chimpanzee,35.28
54,chimpanzee,chimpanzee,34.41
55,chimpanzee,chimpanzee,54.48
56,chimpanzee,chimpanzee,45.64
57,chimpanzee,chimpanzee,38.04
58,chimpanzee,chimpanzee,96.46
59,chimpanzee,chimpanzee,32.58
60,chimpanzee,chimpanzee,65.62
61,antelope,antelope,96.95
62,antelope,antelope,37.19
63,antelope,antelope,64.96
64,antelope,antelope,92.18
65,antelope,antelope,57.09
66,antelope,antelope,32.09
67,antelope,antelope,89.12
68,antelope,antelope,49.6
69,antelope,antelope,93.84
70,antelope,antelope,38.34
71,cat,cat,56.28
72,cat,eagle,9.15
73,cat,cat,43.17
74,cat,cat,47.01
75,cat,cat,33.97
76,cat,cat,59.51
77,cat,cat,18.97
78,cat,cat,31.13
79,cat,cat,96.52
80,cat,cat,42.93
81,eagle,eagle,97.5
82,eagle,eagle,78.88
83,eagle,eagle,36.44
84,eagle,eagle,26.65
85,eagle,eagle,67.6
86,eagle,eagle,48.41
87,eagle,eagle,66.59
88,eagle,eagle,44.86
89,eagle,eagle,96.85
90,eagle,eagle,92.54
91,tiger,tiger,31.95
92,tiger,tiger,17.28
93,tiger,tiger,57.83
94,tiger,tiger,18.51
95,tiger,tiger,77.14
96,tiger,tiger,84.0
97,tiger,tiger,58.41
98,tiger,tiger,73.54
99,tiger,tiger,67.44
100,tiger,tiger,30.24
